id,pvm,suunta,lat,lng,r,g,b
0,2020-03-09 07:00:00,5708,60.1877796,24.7581436,250,0,0
1,2020-03-09 07:00:00,7318,60.2088853,24.7910985,250,0,0
2,2020-03-09 07:00:00,5577,60.2512498,24.8849425,250,0,0
3,2020-03-09 07:00:00,5102,60.3263106,24.8346939,250,0,0
4,2020-03-09 07:00:00,2363,60.1263685,24.4885039,250,128,0
5,2020-03-09 07:00:00,1918,60.6480993,25.3100725,250,250,0
6,2020-03-09 07:00:00,4561,60.2555056,24.5074702,250,128,0
7,2020-03-09 07:00:00,3650,60.2237568,24.9661267,250,128,0
8,2020-03-09 07:00:00,2914,60.3593343,25.5767997,250,128,0
9,2020-03-09 07:00:00,9483,60.2411679,24.9251123,250,0,0
10,2020-03-09 07:00:00,7871,60.2906574,24.9597444,250,0,0
11,2020-03-09 07:00:00,431,60.6886184,26.7411061,250,250,0
12,2020-03-09 07:00:00,1594,60.9441999,25.6746163,250,0,0
13,2020-03-09 07:00:00,2574,60.7310063,24.7266041,250,128,0
14,2019-03-11 07:00:00,5199,60.1877796,24.7581436,0,0,250
15,2019-03-11 07:00:00,6583,60.2088853,24.7910985,0,0,250
16,2019-03-11 07:00:00,5499,60.2512498,24.8849425,0,0,250
17,2019-03-11 07:00:00,4948,60.3263106,24.8346939,0,128,250
18,2019-03-11 07:00:00,2317,60.1263685,24.4885039,0,128,250
19,2019-03-11 07:00:00,1879,60.6480993,25.3100725,0,250,250
20,2019-03-11 07:00:00,3613,60.2555056,24.5074702,0,128,250
21,2019-03-11 07:00:00,3616,60.2237568,24.9661267,0,128,250
22,2019-03-11 07:00:00,2946,60.3617219,25.5548692,0,128,250
23,2019-03-11 07:00:00,8379,60.2411679,24.9251123,0,0,250
24,2019-03-11 07:00:00,8069,60.2906574,24.9597444,0,0,250
25,2019-03-11 07:00:00,425,60.6886184,26.7411061,0,250,250
26,2019-03-11 07:00:00,1571,60.9434228,25.6531033,0,250,250
27,2019-03-11 07:00:00,2530,60.7310063,24.7266041,0,128,250
