id,pvm,suunta,lat,lng,r,g,b
0,2020-03-16 10:00:00,2561,60.1877796,24.7581436,250,128,0
1,2020-03-16 10:00:00,3051,60.2088853,24.7910985,250,128,0
2,2020-03-16 10:00:00,2360,60.2512498,24.8849425,250,128,0
3,2020-03-16 10:00:00,944,60.1263685,24.4885039,250,250,0
4,2020-03-16 10:00:00,942,60.6480993,25.3100725,250,250,0
5,2020-03-16 10:00:00,1714,60.2555056,24.5074702,250,250,0
6,2020-03-16 10:00:00,1995,60.2237568,24.9661267,250,250,0
7,2020-03-16 10:00:00,1147,60.3593343,25.5767997,250,250,0
8,2020-03-16 10:00:00,4203,60.2411679,24.9251123,250,128,0
9,2020-03-16 10:00:00,4454,60.2906574,24.9597444,250,128,0
10,2020-03-16 10:00:00,246,60.6886184,26.7411061,250,250,0
11,2020-03-16 10:00:00,909,60.9441999,25.6746163,250,250,0
12,2020-03-16 10:00:00,1012,60.7310063,24.7266041,250,250,0
13,2019-03-18 10:00:00,2751,60.1877796,24.7481436,0,128,250
14,2019-03-18 10:00:00,3451,60.2085274,24.780508‬,0,128,250
15,2019-03-18 10:00:00,2576,60.2513027,24.8751949,0,128,250
16,2019-03-18 10:00:00,1035,60.1263685,24.4785039,0,250,250
17,2019-03-18 10:00:00,1025,60.6509181,25.298474,0,250,250
18,2019-03-18 10:00:00,1291,60.2555056,24.4974702,0,250,250
19,2019-03-18 10:00:00,2345,60.2237568,24.9561267,0,128,250
20,2019-03-18 10:00:00,1335,60.3617219,25.5548692,0,250,250
21,2019-03-18 10:00:00,4771,60.2411679,24.9151123,0,128,250
22,2019-03-18 10:00:00,5033,60.2906574,24.9497444,0,0,250
23,2019-03-18 10:00:00,358,60.6886184,26.7311061,0,250,250
24,2019-03-18 10:00:00,1004,60.9434228,25.6531033,0,250,250
25,2019-03-18 10:00:00,1304,60.7310063,24.7166041,0,250,250
